attraction_id,attraction_name,locality_ar,region_ar,feature_id,feature_name,primary_category,folders,longitude,latitude,name_score,context_score,combined_score,feature_index
"LTA-FEAT-014","بحيرات نوضا","قيد التحقق","قيد التحقق","534","بحيرة البحير","البحيرات الطبيعية والصحراوية","Untitled layer","13.5862255","26.8513066","0.3333","0.3000","0.3267","533"
"LTA-FEAT-014","بحيرات نوضا","قيد التحقق","قيد التحقق","535","بحيرة العامرة","البحيرات الطبيعية والصحراوية","Untitled layer","24.6929741","29.5871916","0.3333","0.3000","0.3267","534"
"LTA-FEAT-014","بحيرات نوضا","قيد التحقق","قيد التحقق","536","بحيرة العرايشة","البحيرات الطبيعية والصحراوية","Untitled layer","24.8604444444445","29.6094166666667","0.3333","0.3000","0.3267","535"
"LTA-FEAT-014","بحيرات نوضا","قيد التحقق","قيد التحقق","538","بحيرة العنبة","البحيرات الطبيعية والصحراوية","Untitled layer","12.9778147","26.944854","0.3333","0.3000","0.3267","537"
"LTA-FEAT-014","بحيرات نوضا","قيد التحقق","قيد التحقق","539","بحيرة العيون","البحيرات الطبيعية والصحراوية","Untitled layer","14.0103736","27.4678864","0.3333","0.3000","0.3267","538"
"LTA-FEAT-014","بحيرات نوضا","قيد التحقق","قيد التحقق","540","بحيرة العيون","البحيرات الطبيعية والصحراوية","Untitled layer","14.0103736","27.4678864","0.3333","0.3000","0.3267","539"
"LTA-FEAT-014","بحيرات نوضا","قيد التحقق","قيد التحقق","541","بحيرة الفريدغة","البحيرات الطبيعية والصحراوية","Untitled layer","24.5068073","29.6125282","0.3333","0.3000","0.3267","540"
"LTA-FEAT-014","بحيرات نوضا","قيد التحقق","قيد التحقق","542","بحيرة الفريدغة","البحيرات الطبيعية والصحراوية","Untitled layer","13.3506739","26.9317886","0.3333","0.3000","0.3267","541"
"LTA-FEAT-017","البردي","قيد التحقق","قيد التحقق","547","بحيرة بزيمة","البحيرات الطبيعية والصحراوية","وثائق السياحة الاستشفائية / الفوارات","24.89241","22.04358","0.0000","0.0952","0.0190","546"
"LTA-FEAT-017","البردي","قيد التحقق","قيد التحقق","856","حمام العجيلات","الفوارات والمياه الكبريتية والحمامات","وثائق السياحة الاستشفائية / الفوارات","12.39477","32.731286","0.0000","0.0909","0.0182","855"
"LTA-FEAT-017","البردي","قيد التحقق","قيد التحقق","860","حمام بدر","الفوارات والمياه الكبريتية والحمامات","وثائق السياحة الاستشفائية / الفوارات","11.60317","32.09418","0.0000","0.0909","0.0182","859"
"LTA-FEAT-017","البردي","قيد التحقق","قيد التحقق","874","فوار البحيرة","الفوارات والمياه الكبريتية والحمامات","وثائق السياحة الاستشفائية / الفوارات","17.84284","30.77528","0.0000","0.0909","0.0182","873"
"LTA-FEAT-017","البردي","قيد التحقق","قيد التحقق","875","فوار البنية","الفوارات والمياه الكبريتية والحمامات","وثائق السياحة الاستشفائية / الفوارات","17.02491","31.00257","0.0000","0.0909","0.0182","874"
"LTA-FEAT-017","البردي","قيد التحقق","قيد التحقق","878","فوار البويرات","الفوارات والمياه الكبريتية والحمامات","وثائق السياحة الاستشفائية / الفوارات","15.716226","31.3686745","0.0000","0.0909","0.0182","877"
"LTA-FEAT-017","البردي","قيد التحقق","قيد التحقق","880","فوار التلاويط","الفوارات والمياه الكبريتية والحمامات","وثائق السياحة الاستشفائية / الفوارات","17.77487","30.75693","0.0000","0.0909","0.0182","879"
"LTA-FEAT-017","البردي","قيد التحقق","قيد التحقق","881","فوار الحاشي","الفوارات والمياه الكبريتية والحمامات","وثائق السياحة الاستشفائية / الفوارات","14.2589624","30.9197869","0.0000","0.0909","0.0182","880"
"LTA-FEAT-017","البردي","قيد التحقق","قيد التحقق","883","فوار الخادم","الفوارات والمياه الكبريتية والحمامات","وثائق السياحة الاستشفائية / الفوارات","14.27761","31.51248","0.0000","0.0909","0.0182","882"
"LTA-FEAT-017","البردي","قيد التحقق","قيد التحقق","885","فوار السباخ","الفوارات والمياه الكبريتية والحمامات","وثائق السياحة الاستشفائية / الفوارات","16.14082","29.17173","0.0000","0.0909","0.0182","884"
"LTA-FEAT-017","البردي","قيد التحقق","قيد التحقق","887","فوار السكيرات","الفوارات والمياه الكبريتية والحمامات","وثائق السياحة الاستشفائية / الفوارات","15.12552","32.35117","0.0000","0.0909","0.0182","886"
"LTA-FEAT-017","البردي","قيد التحقق","قيد التحقق","891","فوار العريبات","الفوارات والمياه الكبريتية والحمامات","وثائق السياحة الاستشفائية / الفوارات","18.16778","30.54753","0.0000","0.0909","0.0182","890"
"LTA-FEAT-017","البردي","قيد التحقق","قيد التحقق","895","فوار الكنيسة","الفوارات والمياه الكبريتية والحمامات","وثائق السياحة الاستشفائية / الفوارات","16.111","31.00146","0.0000","0.0909","0.0182","894"
"LTA-FEAT-017","البردي","قيد التحقق","قيد التحقق","898","فوار المقاصة","الفوارات والمياه الكبريتية والحمامات","وثائق السياحة الاستشفائية / الفوارات","15.09408","32.35672","0.0000","0.0909","0.0182","897"
"LTA-FEAT-017","البردي","قيد التحقق","قيد التحقق","903","فوار النعاس","الفوارات والمياه الكبريتية والحمامات","وثائق السياحة الاستشفائية / الفوارات","17.99567","30.62503","0.0000","0.0909","0.0182","902"
"LTA-FEAT-018","محمية وادي الكوف","وادي الكوف","الجبل الأخضر","123","جسر وادي الكوف","الأودية ومصباتها","Untitled layer","21.5651463","32.6969085","0.6667","0.1538","0.5641","122"
"LTA-FEAT-018","محمية وادي الكوف","وادي الكوف","الجبل الأخضر","161","منتجع وادي الكوف","الأودية ومصباتها","القرى_والمنتجعات_السياحية","21.563798","32.702","0.6667","0.0952","0.5524","160"
"LTA-FEAT-018","محمية وادي الكوف","وادي الكوف","الجبل الأخضر","160","منتجع وادي الكوف","الأودية ومصباتها","القري السياحية والمنتجعات","21.562313","32.70194","0.6667","0.0690","0.5471","159"
"LTA-FEAT-018","محمية وادي الكوف","وادي الكوف","الجبل الأخضر","111","استراحة منتزه وادي الكوف","الأودية ومصباتها","Untitled layer","21.5634833333334","32.7017888888889","0.5000","0.1429","0.4286","110"
"LTA-FEAT-018","محمية وادي الكوف","وادي الكوف","الجبل الأخضر","124","جسر وادي الكوف القديم","الأودية ومصباتها","Untitled layer","21.5745439","32.6985923","0.5000","0.1429","0.4286","123"
"LTA-FEAT-018","محمية وادي الكوف","وادي الكوف","الجبل الأخضر","141","محمية وادي الأثل","الأودية ومصباتها","Untitled layer","12.3869444444445","32.3091666666667","0.5000","0.0556","0.4111","140"
"LTA-FEAT-018","محمية وادي الكوف","وادي الكوف","الجبل الأخضر","165","وادي أراماس","الأودية ومصباتها","Untitled layer","11.7911988","24.9803601","0.3333","0.0769","0.2821","164"
"LTA-FEAT-018","محمية وادي الكوف","وادي الكوف","الجبل الأخضر","172","وادي أماسين","الأودية ومصباتها","Untitled layer","9.6449735","29.9858929","0.3333","0.0769","0.2821","171"
"LTA-FEAT-018","محمية وادي الكوف","وادي الكوف","الجبل الأخضر","173","وادي أمها","الأودية ومصباتها","Untitled layer","10.5557155","24.7680313","0.3333","0.0769","0.2821","172"
"LTA-FEAT-018","محمية وادي الكوف","وادي الكوف","الجبل الأخضر","174","وادي أنشال","الأودية ومصباتها","Untitled layer","10.5940819","24.9147745","0.3333","0.0769","0.2821","173"
"LTA-FEAT-018","محمية وادي الكوف","وادي الكوف","الجبل الأخضر","175","وادي أنشال","الأودية ومصباتها","Untitled layer","10.622381","24.7065892","0.3333","0.0769","0.2821","174"
"LTA-FEAT-018","محمية وادي الكوف","وادي الكوف","الجبل الأخضر","176","وادي أوال","الأودية ومصباتها","Untitled layer","10.8981149","29.5992123","0.3333","0.0769","0.2821","175"
"LTA-FEAT-018","محمية وادي الكوف","وادي الكوف","الجبل الأخضر","177","وادي أويس","الأودية ومصباتها","Untitled layer","10.5332279","25.336424","0.3333","0.0769","0.2821","176"
"LTA-FEAT-018","محمية وادي الكوف","وادي الكوف","الجبل الأخضر","178","وادي إزغيدة","الأودية ومصباتها","Untitled layer","14.2754751","31.9209385","0.3333","0.0769","0.2821","177"
"LTA-FEAT-018","محمية وادي الكوف","وادي الكوف","الجبل الأخضر","179","وادي ابهوها","الأودية ومصباتها","Untitled layer","11.5107046","25.3950196","0.3333","0.0769","0.2821","178"
